# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230716
# End date: 20240114
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/scholarship-grant/stem-like-me-grants,2,2,2,6,0,0
/scholarship-grant/texas-active-rookie-partnership-tarp-grant,2,2,2,10,0,0
/scholarship-grant/utah-energy-workforce-scholarship,2,2,2,17,0,0
/shop/apparel-accessories/hoodie,2,2,2,12.5,0,0
/shop/apparel-decals/polo,2,2,0,368.5,0,0
/shop/apparel-decals/t-shirt,2,2,0,146.5,0,0
/shop/apparel-decals/test,2,1,0,7,0,0
/shop/chapter-merchandise/card,2,2,1,167,0,0
/stage/archives/29222,2,2,2,115.5,0,0
/stage/archives/30026,2,1,1,14,0,0
/stage/archives/30241,2,2,2,18.5,0,0
/stage/archives/33177,2,2,2,39.5,0,0
/stage/archives/33505,2,1,1,6.5,0,0
/stage/archives/33792,2,2,2,0,0,0
/stage/archives/33868,2,2,2,45.5,0,0
/stage/archives/37316,2,2,2,21.5,0,0
/stage/archives/37521,2,2,2,37,0,0
/stage/archives/40744,2,1,0,57.5,0,0
/stage/archives/40751,2,2,0,125.5,0,0
/stage/archives/intern/amanda-aber,2,2,2,10.5,0,0
/stage/archives/intern/emily-hyser,2,2,2,20,0,0
/stage/archives/intern/guadalupe-lauro,2,2,2,3,0,0
/stage/archives/intern/kathryn-cottingham,2,2,2,40,0,0
/stage/archives/intern/olivia-kirven,2,2,2,18.5,0,0
/stage/archives/leader/franchette-oneal,2,2,2,7,0,0
/stage/archives/leader/maxine-cain,2,2,2,26.5,0,0
/stage/archives/leader/xinyi-zhang,2,2,2,31,0,0
/stage/contact-us,2,2,2,32,0,0
/stage/high-school,2,2,2,36,0,0
/stage/membership-account/membership-checkout,2,2,1,9,0,0
/stage/mentors-at-nstem/mentor-job-descriptions,2,2,2,3,0,0
/stage/middle-school,2,2,2,15.5,0,0
/stage/my-account/lost-password,2,1,0,88.5,0,0
/stage/shop/chapter-merchandise/card,2,2,2,5.5,0,0
/stage/shop/chapter-merchandise/podium-banner,2,2,2,16,0,0
/student-email-templates,2,2,2,7,0,0
/testing/membership-account/membership-checkout,2,2,0,47,0,0
/testing/shop,2,2,0,175,0,0
/testing/shop/apparel-decals/nstem-cap,2,1,0,80,0,0
